,GT FileName,SSIM-tau (a*b*),SSIM-p (a*b*),SSIM-tau (hc),SSIM-p (hc),SSIM-tau (bgr),SSIM-p (bgr),MS-SSIM-tau (a*b*),MS-SSIM-p (a*b*),MS-SSIM-tau (hc),MS-SSIM-p (hc),MS-SSIM-tau (bgr),MS-SSIM-p (bgr),MSE-tau (a*b*),MSE-p (a*b*),MSE-tau (hc),MSE-p (hc),RMSE-tau (a*b*),RMSE-p (a*b*),RMSE-tau (hc),RMSE-p (hc),MAE-tau (a*b*),MAE-p (a*b*),MAE-tau (hc),MAE-p (hc),Colourfulness-tau,Colourfulness-p,Colourfulness-dif-tau,Colourfulness-dif-p,psnr-ab-tau,psnr-ab-p,psnr-hc-tau,psnr-hc-p
0,015004_gt.jpg,0.205,0.015,0.098,0.243,0.098,0.243,0.299,0.0,0.158,0.061,0.28,0.001,-0.194,0.021,0.075,0.373,-0.191,0.024,0.083,0.327,0.126,0.134,-0.014,0.872,-0.161,0.069,0.161,0.069,0.247,0.003,0.076,0.367
1,022090_gt.jpg,0.205,0.015,0.016,0.846,0.016,0.846,0.197,0.019,0.069,0.416,0.215,0.011,-0.093,0.271,0.051,0.546,-0.104,0.217,0.055,0.517,-0.123,0.146,-0.072,0.391,-0.055,0.532,0.055,0.532,0.075,0.373,-0.058,0.489
2,022093_gt.jpg,0.245,0.004,0.128,0.128,0.128,0.128,0.31,0.0,0.125,0.137,0.248,0.003,-0.149,0.078,-0.201,0.017,-0.145,0.085,-0.187,0.026,-0.306,0.0,-0.087,0.301,0.294,0.001,-0.294,0.001,0.241,0.004,-0.032,0.703
3,024004_gt.jpg,0.35,0.0,0.351,0.0,0.351,0.0,0.425,0.0,0.371,0.0,0.38,0.0,-0.273,0.001,-0.169,0.045,-0.3,0.0,-0.025,0.769,-0.314,0.0,-0.085,0.311,0.07,0.427,-0.07,0.427,0.344,0.0,0.186,0.027
4,025098_gt.jpg,0.27,0.001,0.138,0.1,0.138,0.1,0.336,0.0,0.072,0.391,0.342,0.0,-0.251,0.003,-0.065,0.442,-0.283,0.001,-0.032,0.703,0.031,0.711,0.316,0.0,0.012,0.888,-0.012,0.888,0.398,0.0,0.049,0.561
5,046076_gt.jpg,0.276,0.001,0.063,0.455,0.063,0.455,0.378,0.0,0.043,0.607,0.295,0.0,-0.128,0.128,-0.235,0.005,-0.141,0.094,-0.191,0.024,0.096,0.257,0.123,0.146,0.101,0.255,-0.101,0.255,0.273,0.001,-0.02,0.812
6,056028_gt.jpg,0.18,0.032,0.133,0.115,0.133,0.115,0.216,0.01,0.101,0.23,0.198,0.019,-0.152,0.07,-0.013,0.881,-0.174,0.039,0.065,0.442,-0.153,0.069,0.131,0.12,-0.138,0.118,0.138,0.118,0.142,0.091,0.027,0.752
7,065019_gt.jpg,0.319,0.0,0.423,0.0,0.423,0.0,0.276,0.001,0.465,0.0,0.327,0.0,-0.29,0.001,-0.198,0.019,-0.293,0.0,-0.189,0.025,-0.193,0.022,-0.269,0.001,0.152,0.072,-0.152,0.072,0.241,0.004,0.373,0.0
8,078019_gt.jpg,0.409,0.0,0.456,0.0,0.456,0.0,0.461,0.0,0.483,0.0,0.414,0.0,-0.43,0.0,0.141,0.094,-0.427,0.0,0.227,0.007,-0.097,0.252,0.357,0.0,-0.179,0.043,0.179,0.043,0.386,0.0,0.509,0.0
9,118020_gt.jpg,0.35,0.0,0.229,0.007,0.229,0.007,0.412,0.0,0.218,0.01,0.401,0.0,-0.345,0.0,-0.028,0.744,-0.345,0.0,0.0,0.996,-0.055,0.51,0.1,0.234,-0.23,0.01,0.23,0.01,0.356,0.0,0.055,0.51
10,118035_gt.jpg,0.476,0.0,0.325,0.0,0.325,0.0,0.485,0.0,0.433,0.0,0.447,0.0,-0.416,0.0,-0.227,0.007,-0.41,0.0,-0.175,0.038,0.119,0.158,0.303,0.0,-0.334,0.0,0.334,0.0,0.381,0.0,0.448,0.0
11,140075_gt.jpg,0.448,0.0,0.305,0.0,0.305,0.0,0.473,0.0,0.278,0.001,0.441,0.0,-0.411,0.0,-0.231,0.006,-0.424,0.0,-0.183,0.03,-0.124,0.143,-0.066,0.435,0.098,0.243,-0.098,0.243,0.284,0.001,0.196,0.02
12,151087_gt.jpg,0.437,0.0,0.37,0.0,0.37,0.0,0.451,0.0,0.404,0.0,0.42,0.0,-0.405,0.0,0.125,0.137,-0.404,0.0,0.134,0.112,0.002,0.978,0.051,0.546,-0.024,0.782,0.024,0.782,0.413,0.0,0.204,0.016
13,153093_gt.jpg,0.401,0.0,0.316,0.0,0.316,0.0,0.468,0.0,0.14,0.096,0.45,0.0,-0.2,0.018,0.016,0.846,-0.262,0.002,0.136,0.107,0.023,0.786,0.175,0.038,-0.077,0.382,0.077,0.382,0.31,0.0,0.041,0.63
14,187029_gt.jpg,0.371,0.0,0.228,0.007,0.228,0.007,0.352,0.0,0.264,0.002,0.371,0.0,-0.201,0.017,0.074,0.379,-0.226,0.007,0.076,0.367,0.011,0.899,0.361,0.0,0.221,0.013,-0.221,0.013,0.385,0.0,0.076,0.367
15,198023_gt.jpg,0.372,0.0,0.242,0.004,0.242,0.004,0.458,0.0,0.011,0.899,0.48,0.0,-0.405,0.0,0.298,0.0,-0.415,0.0,0.303,0.0,0.131,0.12,0.319,0.0,-0.177,0.046,0.177,0.046,0.436,0.0,-0.106,0.209
16,239096_gt.jpg,0.427,0.0,0.414,0.0,0.414,0.0,0.389,0.0,0.312,0.0,0.427,0.0,-0.383,0.0,-0.205,0.015,-0.39,0.0,-0.127,0.131,-0.132,0.117,-0.005,0.951,0.034,0.686,-0.034,0.686,0.344,0.0,0.127,0.131
17,242078_gt.jpg,0.359,0.0,0.299,0.0,0.299,0.0,0.372,0.0,0.241,0.004,0.423,0.0,-0.313,0.0,-0.229,0.007,-0.292,0.001,-0.141,0.094,-0.043,0.607,0.014,0.872,-0.047,0.592,0.047,0.592,0.095,0.261,0.076,0.367
18,323016_gt.jpg,0.446,0.0,0.153,0.069,0.153,0.069,0.521,0.0,0.212,0.012,0.492,0.0,-0.348,0.0,0.138,0.103,-0.334,0.0,0.107,0.205,0.056,0.503,-0.211,0.012,-0.221,0.013,0.221,0.013,0.317,0.0,0.216,0.01
19,376001_gt.jpg,0.228,0.007,0.193,0.022,0.193,0.022,0.227,0.007,0.155,0.065,0.314,0.0,-0.167,0.047,-0.046,0.584,-0.174,0.039,-0.054,0.525,0.056,0.503,-0.03,0.719,-0.037,0.672,0.037,0.672,0.263,0.002,0.077,0.361
20,All,0.334,0.0,0.181,0.0,0.283,0.0,0.389,0.0,0.194,0.0,0.375,0.0,-0.277,0.0,0.011,0.557,-0.289,0.0,0.063,0.001,-0.089,0.0,0.022,0.227,-0.015,0.415,-0.049,0.008,0.302,0.0,0.049,0.007
