,GT FileName,lpips-vgg-r,lpips-vgg-p
0,015004_gt.jpg,-0.201,0.017
1,022090_gt.jpg,-0.083,0.327
2,022093_gt.jpg,-0.114,0.175
3,024004_gt.jpg,-0.376,0.0
4,025098_gt.jpg,-0.254,0.003
5,046076_gt.jpg,-0.21,0.013
6,056028_gt.jpg,-0.265,0.002
7,065019_gt.jpg,-0.302,0.0
8,078019_gt.jpg,-0.437,0.0
9,118020_gt.jpg,-0.387,0.0
10,118035_gt.jpg,-0.401,0.0
11,140075_gt.jpg,-0.414,0.0
12,151087_gt.jpg,-0.377,0.0
13,153093_gt.jpg,-0.524,0.0
14,187029_gt.jpg,-0.361,0.0
15,198023_gt.jpg,-0.459,0.0
16,239096_gt.jpg,-0.463,0.0
17,242078_gt.jpg,-0.552,0.0
18,323016_gt.jpg,-0.375,0.0
19,376001_gt.jpg,-0.272,0.001
20,All,-0.325,0.0
